raw_value,normalized_value,count
Mevo Tofah 1,S/D,1
Miami,Miami,1
Michigan,Michigan,1
Migdal Halevanon 4,S/D,1
Milford,Milford,1
Mindspace Ahad Ha'am,S/D,1
Misgav Regional Council,Misgav Regional Council,1
Mitzpe Netofa,Mitzpe Netofa,1
Mivtsa Nahshon Street,S/D,1
Modiin,Modi'in,1
Mohiliver Street 1,S/D,1
Montefiore St 46,S/D,1
Montefiore Street 19,S/D,1
Moreshet,Moreshet,1
Moscú,Moscú,1
Moshav Zippori,Moshav Zippori,1
Mota Gur Street,S/D,1
Munich,Munich,1
Münster,Münster,1
Nahal Ayalon Street,S/D,1
Nahalat Binyamin 52,S/D,1
Nahalat Binyamin Street 47,S/D,1
Nahalat Binyamin Street 85,S/D,1
Nahmani Street 22,S/D,1
Nairobi,Nairobi,1
Nakhmani Street 22,S/D,1
Nashik,Nashik,1
Nazareth,Nazareth,1
Nerot Shabat St,S/D,1
Ness Ziona,Ness Ziona,1
Netanya,Netanya,1
New Orleans,S/D,1
No datos directos en web (posible sede Buenos Aires),No Datos Directos En Web (posible Sede Buenos Aires),1
Norwich,Norwich,1
Oak Creek,Oak Creek,1
Oakville,Oakville,1
Omer,Omer,1
Oppenheimer,Oppenheimer,1
Orléans,Orléans,1
Oslo,Oslo,1
Osvaldo Aranha St 29,S/D,1
Palmira,Palmira,1
Perth,Perth,1
Petach Tikva,Petah Tikva,1
Philadelphia,Philadelphia,1
Pinhas Sapir 8,S/D,1
Pittsburgh,S/D,1
Planet of the Apps,S/D,1
Polonia,S/D,1
Princeton,Princeton,1
Prof. Schorr Street 1,S/D,1
Prof. Yehezkel Kaufmann 6,S/D,1
Prof. Yehezkel Kaufmann Street 2,S/D,1
Pune,Pune,1
Punta Arenas,Punta Arenas,1
Qibbutz Galuyot Road 34,S/D,1
Raanana,Ra'anana,1
Rakefet,Rakefet,1
Ramat Efal,Ramat Efal,1
Ramat HaHayal,Ramat Hahayal,1
Raoul Wallenberg Street 24,S/D,1
Raoul Wallenberg Street 2a,S/D,1
Rehov Bar Kochva 23,S/D,1
Rehov HaKalir,S/D,1
Rehovot,Rehovot,1
Reikiavik,Reikiavik,1
Reino Unido,S/D,1
República Checa,S/D,1
Retsif Herbert Samuel St,S/D,1
Riga,Riga,1
Rishon LeTsiyon,Rishon Letsiyon,1
Rival 7,S/D,1
Rokach Boulevard 101,S/D,1
Rosario,Rosario,1
Rothschild Boulevard 19,S/D,1
Rothschild Boulevard 22,S/D,1
Rothschild Boulevard 3,S/D,1
Rothschild Boulevard 47,S/D,1
Rothschild Boulevard 53,S/D,1
Rothschild Boulevard 65,S/D,1
Río Cuarto,Río Cuarto,1
Río de Janeiro,Río de Janeiro,1
SOSA,Sosa,1
Sacramento,Sacramento,1
Sakhnin,Sakhnin,1
San Carlos,San Carlos,1
San Diego,San Diego,1
San Sebastián,San Sebastián,1
Sanhedrin Street,S/D,1
Santa Clara,Santa Clara,1
Santa Fé,Santa Fé,1
Schocken 27,S/D,1
Scottsdale,S/D,1
Sderot Menachem Begin 5,S/D,1
Sderot Rothschild 6,S/D,1
Sderot Yerushalayim,Sderot Yerushalayim,1
Seadya Gaon 24,S/D,1
Seattle,Seattle,1
Sembawang,Sembawang,1
Sha'ar Palmer Street 1,S/D,1
Sha'arei Tshuva 1,S/D,1
Shabazi 18,S/D,1
Shalom Tower,Shalom Tower,1
Shderot Aba Eban,Shderot Aba Eban,1
Shelbyville,S/D,1
Shfayim,Shfayim,1
Shimshon Street 5,S/D,1
Shlomo HaLevi,Shlomo Halevi,1
Shoham St 5,S/D,1
Shoham Street 5,S/D,1
Simtat HaBrosh,Simtat Habrosh,1
Sitio no accesible,Sitio No Accesible,1
Sofía,Sofía,1
Sokolov Street 5,S/D,1
Somerville,Somerville,1
Stuttgart,Stuttgart,1
Suiza,S/D,1
Tallin,Tallin,1
Tallinn,Tallinn,1
Tampa,Tampa,1
Tavor Building,S/D,1
Tchelet,Tchelet,1
Technion,Technion,1
Teesside,Teesside,1
Tel Aviv District,Tel Aviv District,1
Tewksbury,Tewksbury,1
The Elegant Monkeys HQ,S/D,1
Tirat Carmel,Tirat Carmel,1
Torrance,Torrance,1
Toulouse,Toulouse,1
Trondheim,Trondheim,1
Tsaftsafa St,S/D,1
Tsaftsafa St 2,S/D,1
Tsela ha,S/D,1
Tuval 34,S/D,1
Ucrania,S/D,1
Uppsala,Uppsala,1
Utrecht,Utrecht,1
Varsovia,Varsovia,1
Villepinte,Villepinte,1
WeWork Dubnov,S/D,1
Weirton,S/D,1
Westborough,Westborough,1
Wildpoldsried,Wildpoldsried,1
Woodinville,Woodinville,1
Wuhan,Wuhan,1
Y.L. Perets Street 13,S/D,1
Ya'el 3,S/D,1
Yad Harutsim 7,S/D,1
Yad Shalom 24,S/D,1
Yehuda Halevi 48,S/D,1
Yehuda ha,S/D,1
Yerushalmi Street 9,S/D,1
Yigael Yadin 53,S/D,1
Yigal Alon 114,S/D,1
Yigal Alon 55a,S/D,1
Yigal Alon 96,S/D,1
Yigal Alon St 65,S/D,1
Yisra'el Zarkhi Street 88,S/D,1
Yodfat,Yodfat,1
Yokneam Ilit,Yokneam Ilit,1
Yosef Karo Street,S/D,1
Yosef Lishanski Boulevard 27,S/D,1
Yosef Yekuti'eli 6,S/D,1
Yossef Hanessi 12,S/D,1
Ze'ev Jabotinsky 7,S/D,1
Zikhron Yaakov,Zikhron Yaakov,1
Zürich,Zürich,1
halamed heh 6,S/D,1
harav bloy 6,S/D,1
hashikma 2 Azur,S/D,1
hod hasharon hrtzel 9,S/D,1
mazal eliezr 4,S/D,1
rotschild,Rotschild,1
walter moses 1 tel aviv,S/D,1
אחד העם 28,S/D,1
בצלאל 3,S/D,1
היצירה 6,S/D,1
הנגר 8 כפר סבא,S/D,1
יד חרוצים 4,S/D,1
מנחם בגין 37,S/D,1
"ניסן ב""ק","ניסן ב""ק",1
שביל המרץ 2,S/D,1
